year,pkt_inland_yr_capita,country,gdp_capita,tw
2008,3.820833333333325,Greece,29.977143329122793,0
1980,5.804630835038126,Hungary,7.824139189760061,0
1981,6.122278056951481,Hungary,8.055167426260791,0
1982,6.581000373273601,Hungary,8.306687694291831,0
1983,6.605586278001686,Hungary,8.404187470526466,0
1984,6.769803145898088,Hungary,8.669069665091582,0
1985,6.98656066628816,Hungary,8.689525112518272,0
1986,6.613461355642171,Hungary,8.865605222033121,0
1987,6.798090692124105,Hungary,9.259389362926985,0
1988,7.107618591279349,Hungary,9.492904304829748,0
1989,7.127090944049222,Hungary,9.595588224939466,0
1990,6.852076708104462,Hungary,9.280025103170999,0
1991,6.663224934864422,Hungary,8.860999525806958,0
1992,6.175016893522541,Hungary,8.592798737718258,0
1993,6.103388357949609,Hungary,8.543294948412537,0
1994,6.134388878161867,Hungary,8.795928071193924,0
1995,6.236544593680549,Hungary,8.93470881376673,0
1996,6.2548393341076265,Hungary,8.950676882954655,0
1997,6.297535894450912,Hungary,9.271179838702343,0
1998,6.266439688715954,Hungary,9.690214966057804,0
1999,6.273197385110742,Hungary,10.02927570415597,0
2000,6.322473339203601,Hungary,10.480056850775593,0
2001,6.328460708329246,Hungary,10.912439089393073,0
2002,6.363922494344448,Hungary,11.435746513449995,0
2003,6.5202642737402625,Hungary,11.90631303334892,0
2004,6.6767846549338215,Hungary,12.53558930752906,0
2005,6.606979972238747,Hungary,13.122004883974382,0
2006,6.924224343675418,Hungary,13.668010229142585,0
2007,7.027833200319234,Hungary,13.771256540455253,0
2008,7.10408326661329,Hungary,13.933552848137884,0
2009,7.076714529571243,Hungary,13.057064849672722,0
2010,6.935126422887076,Hungary,13.188540136945011,0
2011,6.922999191592563,Hungary,13.449160823344027,0
2012,6.960766423357671,Hungary,13.272669870294614,0
2013,6.994915598942445,Hungary,13.591889712489037,0
2014,7.155805915349312,Hungary,14.20799772816006,0
2015,7.386047923910827,Hungary,14.751073065211779,0
2016,7.687570808981851,Hungary,15.126191077324766,0
2017,8.093011305241522,Hungary,15.78920527082798,0
2018,8.5091275236918,Hungary,16.606807512268393,0
1980,6.776872704040889,Italy,24.486981038372466,0
1981,6.992213078488629,Italy,24.625530062328554,0
1982,7.424026833789389,Italy,24.66626284728352,0
1983,7.015784374174227,Italy,24.901909359035056,0
1984,7.393964440849058,Italy,25.660906528492823,0
1985,7.759102165551399,Italy,26.34463524720854,0
1986,8.163449389302274,Italy,27.075734714870666,0
1987,8.769716531013191,Italy,27.928217722731898,0
1988,9.467606720684696,Italy,29.094529187877075,0
1989,9.804555576987164,Italy,30.074559790852078,0
1990,10.632257046697518,Italy,30.66155981037898,0
1991,10.924099635650224,Italy,31.111456353568176,0
1992,11.815906903491118,Italy,31.33972045140104,0
1993,11.702944158886675,Italy,31.043661945812136,0
1994,11.886968224560423,Italy,31.70255028339327,0
1995,12.275859656487215,Italy,32.64057117923466,0
1996,12.549180758783827,Italy,33.12359800433168,0
1997,12.808238436665285,Italy,33.8269741445022,0
1998,13.271310998713497,Italy,34.471175736296765,0
1999,13.330874046879394,Italy,35.06263317074758,0
2000,14.243297114231284,Italy,36.34040437942082,0
2001,14.299358241758242,Italy,36.86542324862637,0
2002,14.141930293968487,Italy,36.757989768047324,0
2003,14.059011552158431,Italy,36.56931803993312,0
2004,14.078484158210811,Italy,36.90229700146036,0
2005,13.348569859817093,Italy,37.039891625540484,0
2006,13.311651264882222,Italy,37.61403710467093,0
2007,13.272162456594266,Italy,38.03522932429615,0
2008,13.217423033841351,Italy,37.52456571293405,0
2009,13.900754576523534,Italy,35.35703631240906,0
2010,13.495305520438247,Italy,35.82062114807206,0
2011,12.884458541005873,Italy,35.86755554847581,0
2012,11.359241136291521,Italy,34.68762916673625,0
2013,12.00222713447571,Italy,33.92500289883262,0
2014,12.344413176626388,Italy,33.82694652944463,0
2015,12.859288850737892,Italy,34.0448253762195,0
2016,13.313568402485865,Italy,34.38656491601141,0
2017,13.977865312984145,Italy,34.92070825616203,0
2018,13.628977188381436,Italy,35.24772571935777,0
2002,5.382293178519594,Lithuania,8.012247846849771,0
2003,6.437024018746357,Lithuania,8.937044037526743,0
2004,8.55930198166223,Lithuania,9.615370381763439,0
2005,11.381578947368423,Lithuania,10.473000375848068,0
2006,12.944293066908871,Lithuania,11.388306902135605,0
2007,12.976066277999356,Lithuania,12.821724239980272,0
2008,12.742919389978212,Lithuania,13.34707958840003,0
2009,12.136722450268392,Lithuania,11.53496638961421,0
2010,11.17701664532654,Lithuania,11.885494031918377,0
2011,10.479403178722023,Lithuania,12.771365165401114,0
2012,12.008535784635589,Lithuania,13.42119077906668,0
2013,11.912927883017613,Lithuania,14.061548417491666,0
2014,9.10063951531471,Lithuania,14.745201899202051,0
2015,9.31855388813097,Lithuania,15.243244041036942,0
2016,9.762975778546712,Lithuania,15.82868635448205,0
2017,11.892794376098418,Lithuania,16.74471622192168,0
2018,11.675116029989288,Lithuania,17.60195153647344,0
2014,4.5107866139534885,Malta,23.925572772358738,0
2015,4.502044635944701,Malta,25.985878184094407,0
2016,4.514074541284404,Malta,27.219654223240845,0
2017,4.525994584474896,Malta,28.835560088832693,0
1980,8.573649985863726,The Netherlands,30.079674174767415,1
1981,8.541901012373453,The Netherlands,29.68450874525999,1
1982,8.681357117873382,The Netherlands,29.17058837292869,1
1983,8.847894187260703,The Netherlands,29.62931796643861,1
1984,9.184097520432257,The Netherlands,30.382077372591205,1
1985,9.266914703045336,The Netherlands,31.002793739826636,1
1986,9.502603453000885,The Netherlands,31.687808905800605,1
1987,9.521215010556427,The Netherlands,32.10839547781661,1
1988,9.685934750236903,The Netherlands,33.00873707479144,1
1989,9.913242316228395,The Netherlands,34.247542880347744,1
1990,10.05011693952556,The Netherlands,35.451306955813564,1
1991,9.166943245934284,The Netherlands,36.074949632322436,1
1992,9.402611103784844,The Netherlands,36.44607344733927,1
1993,9.15640555410014,The Netherlands,36.65785555880788,1
1994,9.28492419806103,The Netherlands,37.495291607700565,1
1995,9.412981639513834,The Netherlands,38.41619735729611,1
1996,9.451905159673645,The Netherlands,39.54353374188807,1
1997,9.63909294155222,The Netherlands,41.00147248532817,1
1998,9.6595960878954,The Netherlands,42.60927595450856,1
1999,9.876231371558536,The Netherlands,44.50737475505798,1
2000,9.830026371970424,The Netherlands,46.13176302950001,1
2001,9.80665501311025,The Netherlands,46.8411368814088,1
2002,9.90856610800745,The Netherlands,46.62190300570298,1
2003,9.980865378680328,The Netherlands,46.49165883254699,1
2004,10.281144471050533,The Netherlands,47.1852948346937,1
2005,10.071118714486467,The Netherlands,47.96904967527074,1
2006,9.95316301703163,The Netherlands,49.43640864388496,1
2007,10.092990852365661,The Netherlands,51.05672350887123,1
2008,9.852486721390692,The Netherlands,51.7330307824669,1
1985,2.4798836645661657,Poland,6.226086016842087,0
1986,2.571734475374732,Poland,6.449906065326176,0
1987,2.6900969529085876,Poland,6.543956685873992,0
1988,2.893413268960402,Poland,6.786744430197547,0
1989,3.0149076203314302,Poland,6.7731914621597715,0
1990,3.0136986301369864,Poland,5.971083324500708,0
1991,3.2250610508625894,Poland,5.534244955354506,0
1992,3.34069846588824,Poland,5.6563493774676115,0
1993,3.449283308529803,Poland,5.852021491514174,0
1994,3.5573211076089506,Poland,6.147632918350023,0
1995,3.763072362775943,Poland,6.563040490994671,0
1996,4.040093482212413,Poland,6.951317877560212,0
1997,4.284031651316642,Poland,7.393621795294055,0
1998,4.541411679286381,Poland,7.731000561769072,0
1999,4.569850653391413,Poland,8.08905170458873,0
2000,4.911507638042391,Poland,8.460289951453793,0
2001,4.872488969634051,Poland,8.571877616923906,0
2002,4.8812647769492585,Poland,8.756198757680767,0
2003,5.019093699599396,Poland,9.079223207303373,0
2004,5.153515625000001,Poland,9.555940628051758,0
2005,5.250723240115718,Poland,9.897782999001066,0
2006,5.352479532773635,Poland,10.51353641177216,0
2007,5.474382708001982,Poland,11.253436702769747,0
2008,5.744531636989337,Poland,11.730451971975455,0
2009,5.9100177304964285,Poland,12.06285335841555,0
2010,6.0125489172971305,Poland,12.505125806625848,0
2011,5.987123566745893,Poland,13.14728622522209,0
2012,5.983807256651058,Poland,13.379649650443405,0
2013,6.0568426018135115,Poland,13.590410549352363,0
2014,6.200677325352445,Poland,14.066099842010743,0
2015,6.261502865856865,Poland,14.627978510489793,0
2016,6.583274105662166,Poland,15.093833957280397,0
2017,6.787605722867758,Poland,15.834211012222353,0
2018,7.077316597225859,Poland,16.66319799677216,0
1980,3.7534611834683624,Portugal,12.40633832602706,0
1981,3.787801649526525,Portugal,12.517227003499357,0
1982,3.9509674804984294,Portugal,12.719758870137666,0
1983,4.018984146218322,Portugal,12.656709443171037,0
1984,4.152807176695898,Portugal,12.396234236060582,0
1985,4.300533789908349,Portugal,12.733982749690773,0
1986,4.463026395325407,Portugal,13.265298831470066,0
1987,4.6348597942303815,Portugal,14.128890661840265,0
1988,4.848974643903425,Portugal,15.210031535796704,0
1989,4.989384288747346,Portugal,16.202751347105323,0
1990,5.133906013137948,Portugal,16.836035884107346,0
1991,5.435659540137152,Portugal,17.534256750847746,0
1992,6.017485679831172,Portugal,17.662943074384795,0
1993,6.485945783735121,Portugal,17.222427470428627,0
1994,6.983573917371827,Portugal,17.305505352865232,0
1995,7.3818253889604595,Portugal,17.96439570320242,0
1996,7.746200907835011,Portugal,18.51366312987992,0
1997,8.098280098280098,Portugal,19.255215131679975,0
1998,8.532406500881144,Portugal,20.100835766931418,0
1999,9.076548025353485,Portugal,20.79891091378824,0
2000,9.148684082742545,Portugal,21.498618709863916,0
2001,9.187602746349484,Portugal,21.82315080888197,0
